Place,Latitude,Longitude
Maharashtra,19.66328,75.300293
Tamil Nadu,11.059821,78.387451
Gujarat,22.309425,72.13623
Delhi,28.669992,77.230004
Rajasthan,27.391277,73.432617
Madhya Pradesh,23.473324,77.947998
Uttar Pradesh,28.207609,79.82666
West Bengal,22.978624,87.747803
Andhra Pradesh,14.750429,78.570025
Punjab,31.519973,75.980002
Telangana,17.123184,79.208824
Bihar,25.785414,87.479972
Jammu And Kashmir,15.317277,75.71389
Karnataka,34.299959,74.466658
Haryana,29.238478,76.431885
Odisha,20.94092,84.803467
Kerala,10.850516,76.27108
Jharkhand,23.800393,86.419985
Chandigarh,30.719996,76.780005
Tripura,23.745127,91.746826
Assam,26.244156,92.537842
Uttarakhand,30.0668,79.0193
Himachal Pradesh,32.084206,77.571167
Chhattisgarh,21.295132,81.828232
Ladakh,20.5937,78.9629
Andaman and Nikobar,11.667025,92.735982
Goa,15.491997,73.818
Puducherry,11.934993,79.83
Meghalaya,25.570492,91.880014
Manipur,24.79997,93.950017
Mizoram,23.710398,92.720014
Arunachal Pradesh,27.100398,93.6166
Dadra and Nagar Haveli and Daman and Diu,20.266578,73.016617
Nagaland,25.666997,94.11657
Lakshadweep,10.562573,72.636867
Sikkim,27.33333,88.616647
